College,State,Financial GPA,Financial Grade
Rhodes College,TN,2.8,B-
Southern New Hampshire University,NH,2.79,B-
The College of Wooster,OH,2.79,B-
Knox College,IL,2.78,B-
Aquinas College,MI,2.77,B-
Columbia College Chicago,IL,2.77,B-
Denison University,OH,2.77,B-
College for Creative Studies,MI,2.76,B-
Park University,MO,2.76,B-
Allegheny College,PA,2.75,B-
Belmont University,TN,2.75,B-
Oakwood University,AL,2.75,B-
Asbury University,KY,2.74,B-
Yeshivath Viznitz,NY,2.74,B-
Hendrix College,AR,2.73,B-
Iona College,NY,2.73,B-
Centenary College of Louisiana,LA,2.72,B-
Creighton University,NE,2.72,B-
Mount Marty College,SD,2.72,B-
Nebraska Wesleyan University,NE,2.72,B-
Northwestern College,IA,2.72,B-
Wilmington University,DE,2.72,B-
Midway University,KY,2.71,B-
Chapman University,CA,2.7,B-
Hofstra University,NY,2.7,B-
Kalamazoo College,MI,2.69,B-
Logan University,MO,2.69,B-
Syracuse University,NY,2.69,B-
Anderson University,SC,2.68,B-
Biola University,CA,2.68,B-
Mercy College,NY,2.68,B-
University of Jamestown,ND,2.68,B-
University of San Diego,CA,2.68,B-
Washington College,MD,2.68,B-
Concordia College at Moorhead,MN,2.67,B-
Lake Forest College,IL,2.66,B-
Catholic University of America,DC,2.65,B-
Embry-Riddle Aeronautical University-Daytona Beach,FL,2.65,B-
Saint Louis University,MO,2.65,B-
University of Denver,CO,2.65,B-
Yeshiva University,NY,2.65,B-
Ave Maria University,FL,2.64,B-
University of Portland,OR,2.64,B-
Bentley University,MA,2.63,B-
Texas Lutheran University,TX,2.63,B-
Gonzaga University,WA,2.62,B-
University of Miami,FL,2.62,B-
Lindenwood University,MO,2.61,B-
Lubbock Christian University,TX,2.61,B-
MGH Institute of Health Professions,MA,2.61,B-
National University,CA,2.61,B-
Palmer College of Chiropractic,IA,2.61,B-
Beloit College,WI,2.6,B-
Hastings College,NE,2.6,B-
Marist College,NY,2.6,B-
Samuel Merritt University,CA,2.6,B-
Southeastern Baptist Theological Seminary,NC,2.6,B-
Miles College,AL,2.59,B-
Randolph-Macon College,VA,2.59,B-
University of Dallas,TX,2.59,B-
University of St. Thomas,MN,2.59,B-
Augustana College,IL,2.58,B-
Mount Saint Mary's University,CA,2.58,B-
Lees-McRae College,NC,2.57,B-
Carroll University,WI,2.56,B-
Hampton University,VA,2.55,B-
Ohio Wesleyan University,OH,2.55,B-
Rose-Hulman Institute of Technology,IN,2.55,B-
Spalding University,KY,2.55,B-
Clark University,MA,2.54,B-
Franciscan Missionaries of Our Lady University,LA,2.54,B-
Meredith College,NC,2.54,B-
Hampden-Sydney College,VA,2.53,B-
Trinity Washington University,DC,2.53,B-
Wayland Baptist University,TX,2.53,B-
Wheaton College,MA,2.53,B-
Sterling College,KS,2.52,B-
Covenant College,GA,2.51,B-
Ringling College of Art and Design,FL,2.5,B-
Albion College,MI,2.5,C+
Emory & Henry College,VA,2.5,C+
Hodges University,FL,2.5,C+
Mount Aloysius College,PA,2.5,C+
Bard College,NY,2.49,C+
Cambridge College,MA,2.49,C+
Grove City College,PA,2.49,C+
Hardin-Simmons University,TX,2.49,C+
Luther Rice College & Seminary,GA,2.49,C+
University of Saint Francis-Fort Wayne,IN,2.49,C+
Converse College,SC,2.48,C+
Dakota Wesleyan University,SD,2.48,C+
Holy Names University,CA,2.48,C+
Illinois Wesleyan University,IL,2.48,C+
Point Loma Nazarene University,CA,2.48,C+
Savannah College of Art and Design,GA,2.48,C+
Westmont College,CA,2.48,C+
Augsburg University,MN,2.47,C+
Carlos Albizu University-San Juan,PR,2.47,C+
Life Pacific College,CA,2.47,C+
Millsaps College,MS,2.47,C+
University of St. Thomas,TX,2.47,C+
Abilene Christian University,TX,2.46,C+
Baylor University,TX,2.46,C+
Cairn University,PA,2.46,C+
California Baptist University,CA,2.44,C+
Maryville University of Saint Louis,MO,2.44,C+
Doane University,NE,2.43,C+
Missouri Valley College,MO,2.43,C+
Norwich University,VT,2.43,C+
Palm Beach Atlantic University,FL,2.43,C+
University of Northwestern-St Paul,MN,2.43,C+
Albertus Magnus College,CT,2.42,C+
Milligan College,TN,2.42,C+
Northeastern University,MA,2.42,C+
St. Catherine University,MN,2.42,C+
Talladega College,AL,2.42,C+
Bethany Lutheran College,MN,2.41,C+
Carthage College,WI,2.41,C+
Rocky Mountain College,MT,2.41,C+
Clark Atlanta University,GA,2.4,C+
East Texas Baptist University,TX,2.4,C+
Emerson College,MA,2.4,C+
Linfield College-McMinnville Campus,OR,2.4,C+
Mount St Joseph University,OH,2.4,C+
Pratt Institute-Main,NY,2.4,C+
Saint Anselm College,NH,2.4,C+
Stonehill College,MA,2.4,C+
Toccoa Falls College,GA,2.4,C+
Trine University,IN,2.4,C+
University of Mount Union,OH,2.4,C+
Milwaukee School of Engineering,WI,2.39,C+
Stevens Institute of Technology,NJ,2.39,C+
Texas Wesleyan University,TX,2.39,C+
Mills College,CA,2.38,C+
Edgewood College,WI,2.37,C+
Misericordia University,PA,2.37,C+
Mount Vernon Nazarene University,OH,2.37,C+
Saint Joseph's University,PA,2.37,C+
Bradley University,IL,2.36,C+
Franciscan University of Steubenville,OH,2.36,C+
Goucher College,MD,2.36,C+
Lakeland University,WI,2.36,C+
Messiah College,PA,2.36,C+
Monmouth College,IL,2.36,C+
Charleston Southern University,SC,2.35,C+
Northwest Nazarene University,ID,2.35,C+
Ripon College,WI,2.35,C+
Schreiner University,TX,2.35,C+
University of New England,ME,2.35,C+
Warren Wilson College,NC,2.35,C+
Ithaca College,NY,2.34,C+
Kettering University,MI,2.34,C+
Olivet College,MI,2.34,C+
Parker University,TX,2.34,C+
Quinnipiac University,CT,2.33,C+
St. John Fisher College,NY,2.33,C+
Ursinus College,PA,2.33,C+
Buena Vista University,IA,2.32,C+
Columbia College,MO,2.32,C+
Maryville College,TN,2.32,C+
St. Ambrose University,IA,2.32,C+
Taylor University,IN,2.32,C+
Walla Walla University,WA,2.32,C+
Washington & Jefferson College,PA,2.32,C+
Wittenberg University,OH,2.32,C+
Luther College,IA,2.31,C+
McPherson College,KS,2.31,C+
Seattle Pacific University,WA,2.31,C+
St. John's University-New York,NY,2.31,C+
Boricua College,NY,2.3,C+
City University of Seattle,WA,2.3,C+
Howard Payne University,TX,2.3,C+
Westminster College,MO,2.3,C+
Alma College,MI,2.29,C+
Clarkson College,NE,2.29,C+
