College,State,Financial GPA,Financial Grade
Boston Architectural College,MA,1.44,D
Dominican University,IL,1.44,D
SUM Bible College and Theological Seminary,CA,1.44,D
College of Mount Saint Vincent,NY,1.43,D
Culver-Stockton College,MO,1.43,D
Huntingdon College,AL,1.43,D
Illinois Institute of Technology,IL,1.43,D
Loras College,IA,1.43,D
Manhattanville College,NY,1.43,D
Morningside College,IA,1.43,D
Campbellsville University,KY,1.42,D
La Salle University,PA,1.42,D
Ashland University,OH,1.41,D
Rosemont College,PA,1.41,D
William Jessup University,CA,1.41,D
Bethel College-Indiana,IN,1.4,D
Milwaukee Institute of Art & Design,WI,1.4,D
Grace College and Theological Seminary,IN,1.39,D
Keystone College,PA,1.39,D
California Institute of Integral Studies,CA,1.38,D
Delaware Valley University,PA,1.38,D
Marymount Manhattan College,NY,1.38,D
Pace University,NY,1.38,D
Hannibal-LaGrange University,MO,1.37,D
Huntington University,IN,1.37,D
Methodist University,NC,1.37,D
Robert Morris University,PA,1.37,D
Trinity Christian College,IL,1.37,D
University of Evansville,IN,1.37,D
West Virginia Wesleyan College,WV,1.37,D
Becker College,MA,1.36,D
Centenary University,NJ,1.36,D
Regent University,VA,1.36,D
Stephens College,MO,1.36,D
Daemen College,NY,1.35,D
Felician University,NJ,1.35,D
King University,TN,1.35,D
Lincoln Christian University,IL,1.35,D
Mount St. Mary's University,MD,1.35,D
National University of Natural Medicine,OR,1.35,D
The College of New Rochelle,NY,1.35,D
Western New England University,MA,1.35,D
Concordia University-Texas,TX,1.34,D
Franklin Pierce University,NH,1.34,D
Cazenovia College,NY,1.33,D
Spring Arbor University,MI,1.32,D
Bethune-Cookman University,FL,1.31,D
Claflin University,SC,1.31,D
Graceland University-Lamoni,IA,1.31,D
Southeastern University,FL,1.31,D
Avila University,MO,1.3,D
Eastern Nazarene College,MA,1.3,D
Eastern University,PA,1.3,D
Averett University,VA,1.29,D
Immaculata University,PA,1.29,D
Anna Maria College,MA,1.28,D
Martin Methodist College,TN,1.28,D
Simpson University,CA,1.28,D
Thomas College,ME,1.28,D
Lindsey Wilson College,KY,1.27,D
Mitchell College,CT,1.27,D
Truett McConnell University,GA,1.27,D
Thiel College,PA,1.25,D
Baker University,KS,1.24,D
Hilbert College,NY,1.24,D
Mercyhurst University,PA,1.23,D
Upper Iowa University,IA,1.23,D
Waynesburg University,PA,1.23,D
Azusa Pacific University,CA,1.22,D
Touro University Nevada,NV,1.22,D
University of Valley Forge,PA,1.22,D
Brevard College,NC,1.21,D
Pacific Union College,CA,1.21,D
Spring Hill College,AL,1.21,D
Union University,TN,1.21,D
Hamline University,MN,1.2,D
Tusculum University,TN,1.2,D
Concordia College-New York,NY,1.19,D
Eureka College,IL,1.19,D
McKendree University,IL,1.19,D
Woodbury University,CA,1.19,D
Bluefield College,VA,1.18,D
Ohio Dominican University,OH,1.18,D
Drew University,NJ,1.17,D
Southwestern College,KS,1.17,D
University of Mount Olive,NC,1.17,D
Warner University,FL,1.17,D
Dominican University of California,CA,1.16,D
Mary Baldwin University,VA,1.16,D
Concordia University-Chicago,IL,1.15,D
Newberry College,SC,1.15,D
Roger Williams University,RI,1.15,D
American International College,MA,1.14,D
Chatham University,PA,1.14,D
Saint Martin's University,WA,1.14,D
Shaw University,NC,1.14,D
St. Joseph's College-New York,NY,1.14,D
Barry University,FL,1.13,D
Carson-Newman University,TN,1.13,D
Clarks Summit University,PA,1.13,D
Cornish College of the Arts,WA,1.13,D
Southern Nazarene University,OK,1.13,D
Olivet Nazarene University,IL,1.12,D
Saint Joseph's College of Maine,ME,1.12,D
Belhaven University,MS,1.11,D
Marywood University,PA,1.11,D
Shorter University,GA,1.11,D
The College of Saint Rose,NY,1.11,D
Caldwell University,NJ,1.09,D
Coe College,IA,1.09,D
Colby-Sawyer College,NH,1.08,D
Evangel University,MO,1.07,D
Nyack College,NY,1.07,D
Briar Cliff University,IA,1.06,D
Malone University,OH,1.06,D
Southwestern Christian University,OK,1.06,D
Columbia College,SC,1.05,D
Georgetown College,KY,1.05,D
Rider University,NJ,1.05,D
University of Bridgeport,CT,1.05,D
Alderson Broaddus University,WV,1.04,D
Chestnut Hill College,PA,1.04,D
Regis College,MA,1.04,D
Florida Institute of Technology,FL,1.03,D
Keuka College,NY,1.03,D
MacMurray College,IL,1.03,D
Benedictine University,IL,1.02,D
Pfeiffer University,NC,1.02,D
Cincinnati Christian University,OH,1.01,D
Judson University,IL,1.01,D
Quincy University,IL,1.01,D
Thomas More College,KY,1,D
Corban University,OR,0.99,D
Holy Cross College,IN,0.99,D
Rockhurst University,MO,0.99,D
Lake Erie College,OH,0.98,D
Lenoir-Rhyne University,NC,0.98,D
Sierra Nevada College,NV,0.98,D
Belmont Abbey College,NC,0.97,D
Saint Xavier University,IL,0.96,D
Anderson University,IN,0.95,D
Utica College,NY,0.93,D
Wesley College,DE,0.92,D
Wiley College,TX,0.91,D
Benedict College,SC,0.9,D
Concordia University-Portland,OR,0.89,D
Widener University,PA,0.89,D
North Carolina Wesleyan College,NC,0.87,D
The Sage Colleges,NY,0.86,D
Caribbean University-Bayamon,PR,0.85,D
Ottawa University-Ottawa,KS,0.85,D
Caribbean University-Ponce,PR,0.84,D
Elmira College,NY,0.83,D
Jacksonville University,FL,0.82,D
Adrian College,MI,0.81,D
Wheeling Jesuit University,WV,0.77,D
University of Pikeville,KY,0.74,D
Notre Dame College,OH,0.72,D
